EN00:1,,,,EN00:1 (6)
EN00:2,,,,EN00:2 (8)
EN00:3,,,,EN00:3 (4)
EN00:4,,,,EN00:6 (4)
EN00:5,,,,EN00:7 (6)
EN00:6,,,,EN00:8 (4)
EN00:7,,y,,EN01:5 (4)
EN00:8,,,,EN01:7 (2)
EN01:1,,,,EN02:1 (4)
EN01:2,,,,EN02:2 (2)
EN01:3,,,,EN03:6 (6)
EN01:4,,,,EN03:7 (2)
EN01:5,,y,,EN04:1 (4)
EN01:6,,,,EN04:7 (12)
EN01:7,,y,,EN04:8 (6)
EN01:8,,,,EN05:4 (110)
EN02:1,,,,EN05:5 (108)
EN02:2,,y,,EN05:7 (114)
EN02:3,,,,EN05:8 (108)
EN02:4,,,,EN06:3 (109)
EN02:5,,,,EN06:4 (108)
EN02:6,,,,EN06:7 (108)
EN02:7,,,,EN07:1 (106)
EN02:8,,,,EN07:3 (109)
EN03:1,,,,EN07:4 (106)
EN03:2,,,,EN08:4 (106)
EN03:3,,,,EN08:5 (108)
EN03:4,,,,EN08:7 (106)
EN03:5,,,,EN09:4 (104)
EN03:6,,y,,EN09:5 (106)
EN03:7,,,,EN09:8 (110)
EN03:8,,,,EN0A:1 (108)
EN04:1,,,,EN0A:2 (104)
EN04:2,,,,EN0A:5 (106)
EN04:3,,,,EN0A:6 (106)
EN04:4,,,,EN0A:8 (106)
EN04:5,,,,EN0B:1 (108)
EN04:6,,,,EN0B:2 (108)
EN04:7,,,,EN0C:2 (208)
EN04:8,,y,,EN0C:3 (208)
EN05:1,,,,EN0C:4 (2)
EN05:2,,,,EN0C:5 (195)
EN05:3,,,,EN0C:6 (195)
EN05:4,EN8019,y,,EN0C:8 (200)
EN05:5,EN8024,y,,EN0D:1 (196)
EN05:6,,,,EN0D:2 (2)
EN05:7,,y,,EN0D:6 (198)
EN05:8,EN8034,y,,EN0D:7 (198)
EN06:1,,,,EN0D:8 (210)
EN06:2,,,,EN0E:1 (210)
EN06:3,EN8041,y,,EN0E:2 (209)
EN06:4,EN8044,y,,EN0E:3 (209)
EN06:5,,,,EN0E:4 (206)
EN06:6,,,,EN0E:5 (206)
EN06:7,EN8061,y,,EN0F:4 (6)
EN06:8,,,,EN0F:5 (8)
EN07:1,EN8066,y,,EN0F:6 (6)
EN07:2,,,,EN0F:7 (4)
EN07:3,EN8083,y,,EN10:6 (4)
EN07:4,EN8086,y,,EN10:7 (2)
EN07:5,,,,EN10:8 (4)
EN07:6,,,,EN11:1 (4)
EN07:7,,,,EN11:2 (6)
EN07:8,,,,EN11:5 (8)
EN08:1,,,,EN11:6 (6)
EN08:2,,,,EN12:1 (4)
EN08:3,,,,EN12:4 (3)
EN08:4,EN8109,y,,EN12:5 (2)
EN08:5,EN8110,y,,EN12:8 (2)
EN08:6,,,,EN13:1 (4)
EN08:7,EN8118,y,,EN13:4 (2)
EN08:8,,,,EN14:1 (108)
EN09:1,,,,EN14:2 (100)
EN09:2,,,,EN14:3 (106)
EN09:3,,,,EN14:4 (101)
EN09:4,EN8129,y,,EN15:1 (98)
EN09:5,EN8134,y,,EN15:2 (98)
EN09:6,,,,EN15:3 (106)
EN09:7,,,,EN15:4 (98)
EN09:8,,y,,EN15:5 (107)
EN0A:1,EN8083,y,,EN15:6 (98)
EN0A:2,,y,,EN15:7 (106)
EN0A:3,,,,EN15:8 (99)
EN0A:4,,,,EN16:3 (105)
EN0A:5,,y,,EN16:4 (2)
EN0A:6,EN8110,y,,EN16:5 (98)
EN0A:7,,,,EN16:6 (108)
EN0A:8,,y,,EN16:8 (2)
EN0B:1,EN8066,y,,EN17:1 (104)
EN0B:2,,y,,EN17:2 (106)
EN0B:3,,,,EN17:3 (102)
EN0B:4,,,,EN17:4 (106)
EN0B:5,,,,EN17:5 (110)
EN0B:6,,,,EN17:7 (106)
EN0B:7,,,,EN17:8 (105)
EN0B:8,,,,EN18:1 (108)
EN0C:1,,,,EN19:1 (204)
EN0C:2,,y,,EN19:2 (206)
EN0C:3,,y,,EN19:4 (185)
EN0C:4,,,,EN19:5 (178)
EN0C:5,,y,,EN19:6 (2)
EN0C:6,,y,,EN19:7 (196)
EN0C:7,,,,EN19:8 (196)
EN0C:8,,y,,EN1A:2 (189)
EN0D:1,,y,,EN1A:3 (189)
EN0D:2,,y,,EN1A:5 (184)
EN0D:3,,,,EN1A:6 (176)
EN0D:4,,,,EN1A:7 (2)
EN0D:5,,,,EN1A:8 (200)
EN0D:6,,y,,EN1B:1 (200)
EN0D:7,,y,,EN1B:2 (192)
EN0D:8,,y,,EN1B:3 (192)
EN0E:1,,y,,EN1B:4 (198)
EN0E:2,,y,,EN1B:5 (196)
EN0E:3,,y,,EN1B:6 (196)
EN0E:4,,y
EN0E:5,,y
EN0E:6
EN0E:7
EN0E:8
EN0F:1
EN0F:2
EN0F:3
EN0F:4
EN0F:5
EN0F:6
EN0F:7
EN0F:8
EN10:1
EN10:2
EN10:3
EN10:4
EN10:5
EN10:6
EN10:7
EN10:8
EN11:1
EN11:2
EN11:3
EN11:4
EN11:5
EN11:6
EN11:7
EN11:8
EN12:1
EN12:2
EN12:3
EN12:4
EN12:5
EN12:6
EN12:7
EN12:8
EN13:1
EN13:2
EN13:3
EN13:4
EN13:5
EN13:6
EN13:7
EN13:8
EN14:1,EN8148,y
EN14:2,EN8149,y
EN14:3,EN8164,y
EN14:4,,y
EN14:5
EN14:6
EN14:7,EN8167
EN14:8
EN15:1,EN8179,y
EN15:2,EN8173,y
EN15:3,EN8176,y
EN15:4,EN8177,y
EN15:5,EN8178,y
EN15:6,EN8195,y
EN15:7,EN8198,y
EN15:8,EN8219,y
EN16:1
EN16:2
EN16:3,EN8234,y
EN16:4
EN16:5,EN8237,y
EN16:6,EN8246,y
EN16:7
EN16:8
EN17:1,,y
EN17:2,,y
EN17:3,,y
EN17:4,,y
EN17:5,,y
EN17:6
EN17:7,,y
EN17:8,,y
EN18:1,,y
EN18:2
EN18:3
EN18:4
EN18:5
EN18:6
EN18:7
EN18:8
EN19:1,,y
EN19:2,,y
EN19:3
EN19:4,,y
EN19:5,,y
EN19:6
EN19:7,,y
EN19:8,,y
EN1A:1
EN1A:2,,y
EN1A:3,,y
EN1A:4
EN1A:5,,y
EN1A:6,,y
EN1A:7
EN1A:8,,y
EN1B:1,,y
EN1B:2,,y
EN1B:3,,y
EN1B:4,,y
EN1B:5,,y
EN1B:6,,y
EN1B:7,,y
EN1B:8
